id,first_name,last_name,pace,offensive_scheme,defensive_scheme,rotation_depth,substitution_aggressiveness
2,Frank,Valcone,7,11,11,6,3
3,Ben,Malone,14,9,14,17,10
4,Ray,Gilliam,10,12,14,4,8
5,Jim,Kaye,14,10,9,3,13
6,Pete,Becker,17,14,10,11,11
7,Chick,Corea,14,5,10,11,10
8,Ken,Norman,18,15,9,10,13
9,Ray,Powell,6,7,13,13,4
10,Frank,Gifford,8,8,12,3,10
11,Miles,Dave,12,10,13,13,15
12,Chuck,Jones,12,7,10,4,17
13,Graham,Anders,8,12,12,8,14
14,Kerry,Vittles,9,11,4,9,13
15,Cliff,Burton,11,9,11,8,13
16,Wes,Demnondred,7,12,14,7,13
17,Carl,Mingus,15,4,11,8,5
18,Ran,Welicki,11,11,10,10,8
19,Pat,Metheny,11,7,10,9,10
20,Carl,Hook,15,10,8,8,6
21,Dan,Jones,14,10,4,13,9
22,Conway,Sheehan,10,10,6,14,15
23,Jim,Patitucci,8,14,6,13,7
24,Ken,Deal,12,13,13,15,13
25,Leland,Sklar,7,6,15,12,7
26,Randy,Wisniewski),14,12,9,6,7
27,John,Entwistle,12,8,4,10,7
28,Justin,Chancellor,8,6,11,10,11
29,Al,Wozniak,7,9,3,15,15
30,PHI,Baker,7,11,3,9,8
31,Marcus,Duran,11,15,15,4,14
32,Danny,Carey,10,13,6,9,10
33,Caleb,Mills,6,5,7,9,15
34,Nick ,Mcbain,5,13,8,10,10
35,Dave,Murray,17,8,9,9,12
36,Paul,DAmour,13,13,3,10,10
37,Jabari,Fountain,15,13,12,5,10
38,Joel,Deboezart,13,5,7,9,9
39,Adam,Jones,6,7,15,16,13
40,Delionel,Smith,13,7,12,11,6
41,Adrian,Smith,7,11,10,11,9
